epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,10241.3,1.00275,0.65202,1.24549,0.9964,0.99405,0.995,0.79129,0.78157,0.34564,1.03175,0.000260575,0.000260575,0.000260575
118,10330.9,1.0247,0.68209,1.24896,0.99801,0.99482,0.995,0.79072,0.78438,0.34701,1.03628,0.000247192,0.000247192,0.000247192
119,10419.1,1.04391,0.70197,1.2744,0.99804,0.99405,0.995,0.77512,0.81901,0.35459,1.05523,0.000234143,0.000234143,0.000234143
120,10504.2,0.99482,0.68316,1.24605,0.9966,0.99405,0.995,0.7905,0.77929,0.34912,1.03318,0.000221435,0.000221435,0.000221435
121,10593.3,1.04024,0.68964,1.26576,0.99801,0.99368,0.995,0.79379,0.77111,0.34701,1.02656,0.000209073,0.000209073,0.000209073
122,10677.2,0.99181,0.666,1.24476,0.99964,0.99603,0.995,0.79703,0.77337,0.34351,1.0277,0.000197062,0.000197062,0.000197062
123,10762.8,1.00822,0.66566,1.25703,0.99801,0.99531,0.99498,0.79932,0.76477,0.34562,1.02122,0.000185408,0.000185408,0.000185408
124,10855.3,1.0295,0.67744,1.25819,0.99893,0.99603,0.995,0.79433,0.7733,0.34245,1.02687,0.000174115,0.000174115,0.000174115
125,10943.4,1.02865,0.69212,1.26831,0.99928,0.99603,0.995,0.79668,0.7611,0.34047,1.02069,0.000163189,0.000163189,0.000163189
126,11030.2,0.99896,0.66415,1.24249,0.99929,0.99603,0.995,0.79825,0.75304,0.34183,1.01529,0.000152635,0.000152635,0.000152635
127,11115.7,1.00899,0.68822,1.25019,0.99953,0.99603,0.995,0.80197,0.74188,0.33773,1.01124,0.000142456,0.000142456,0.000142456
128,11204.1,1.00746,0.67475,1.25093,0.99945,0.99603,0.995,0.80336,0.74703,0.33641,1.01187,0.000132658,0.000132658,0.000132658
129,11289.1,1.0035,0.68251,1.24895,0.99883,0.99603,0.995,0.80383,0.73935,0.33492,1.00984,0.000123245,0.000123245,0.000123245
130,11379.6,0.99889,0.66768,1.24741,0.99786,0.99603,0.995,0.80178,0.74125,0.33653,1.01015,0.000114221,0.000114221,0.000114221
131,11461.6,0.98931,0.66342,1.24001,0.99915,0.99603,0.995,0.80184,0.74367,0.33459,1.01026,0.00010559,0.00010559,0.00010559
132,11545.3,0.97664,0.66405,1.22649,0.99938,0.99603,0.995,0.80407,0.73309,0.33312,1.00607,9.73555e-05,9.73555e-05,9.73555e-05
133,11631.9,0.97746,0.64722,1.22898,0.99988,0.99603,0.995,0.80972,0.73105,0.3348,1.00642,8.95213e-05,8.95213e-05,8.95213e-05
134,11719.4,0.99807,0.67174,1.24358,0.99951,0.99603,0.995,0.80252,0.74559,0.33423,1.0119,8.20908e-05,8.20908e-05,8.20908e-05
135,11801.9,0.97633,0.66109,1.25011,0.99981,0.99603,0.995,0.80824,0.72604,0.33044,1.00204,7.50674e-05,7.50674e-05,7.50674e-05
136,11888.8,1.01671,0.67264,1.25572,0.99992,0.99603,0.995,0.81112,0.72032,0.32799,0.99765,6.8454e-05,6.8454e-05,6.8454e-05
137,11973.1,0.98561,0.65873,1.2427,0.998,0.99603,0.99498,0.80854,0.71968,0.32851,0.99767,6.22537e-05,6.22537e-05,6.22537e-05
138,12059.6,0.97768,0.66934,1.23096,0.99986,0.99603,0.995,0.81239,0.71541,0.32793,0.99555,5.64691e-05,5.64691e-05,5.64691e-05
139,12142.5,0.97435,0.6609,1.2292,0.99956,0.99603,0.995,0.81303,0.71512,0.32438,0.99593,5.11027e-05,5.11027e-05,5.11027e-05
140,12226.2,0.94856,0.61772,1.20914,0.99752,0.99603,0.995,0.81452,0.71252,0.3253,0.99428,4.61569e-05,4.61569e-05,4.61569e-05
141,12311.9,0.82194,0.5976,1.15898,0.99801,0.99489,0.995,0.80987,0.72198,0.34974,0.99928,4.16339e-05,4.16339e-05,4.16339e-05
142,12400.6,0.79685,0.52985,1.12617,0.99771,0.99206,0.99498,0.80305,0.7484,0.37925,1.01283,3.75356e-05,3.75356e-05,3.75356e-05
143,12487.8,0.8046,0.48456,1.13406,0.99214,0.99206,0.99494,0.80313,0.74751,0.38533,1.01448,3.38639e-05,3.38639e-05,3.38639e-05
144,12576.3,0.78629,0.44668,1.10255,0.99611,0.99206,0.99498,0.80957,0.73809,0.38243,1.01096,3.06204e-05,3.06204e-05,3.06204e-05
145,12661.7,0.76986,0.43297,1.10171,0.99801,0.99397,0.99498,0.81338,0.73085,0.37698,1.00662,2.78064e-05,2.78064e-05,2.78064e-05
146,12749.3,0.7755,0.41906,1.10667,0.99801,0.99433,0.995,0.81588,0.72625,0.36972,1.00335,2.54233e-05,2.54233e-05,2.54233e-05
147,12834.7,0.7647,0.4187,1.10573,0.99801,0.99436,0.995,0.81589,0.72508,0.36798,1.00233,2.34721e-05,2.34721e-05,2.34721e-05
148,12920.2,0.72888,0.40242,1.08665,0.99801,0.99601,0.995,0.81637,0.72233,0.36529,1.00013,2.19535e-05,2.19535e-05,2.19535e-05
149,13004.6,0.77898,0.41218,1.10095,0.9973,0.99603,0.995,0.81503,0.72009,0.36301,0.99882,2.08684e-05,2.08684e-05,2.08684e-05
150,13087.7,0.75046,0.40711,1.08621,0.99781,0.99603,0.99494,0.81523,0.71835,0.36111,0.99739,2.02171e-05,2.02171e-05,2.02171e-05
